country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andhra Pradesh",Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","20-07-2026 15:00:00",13.20488,79.097889,PM2.5,53,85,67
India,"Andhra Pradesh",Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","20-07-2026 15:00:00",13.20488,79.097889,PM10,48,81,62
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","20-07-2026 15:00:00",16.316553,80.413302,PM2.5,48,65,53
India,Assam,Guwahati,"IITG, Guwahati - PCBA","20-07-2026 15:00:00",26.2028636,91.70046436,OZONE,6,12,9
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","20-07-2026 15:00:00",26.1875,91.744194,NH3,0,1,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","20-07-2026 15:00:00",26.349082,92.68449,PM2.5,41,64,50
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","20-07-2026 15:00:00",26.349082,92.68449,CO,10,23,17
India,Assam,Silchar,"Tarapur, Silchar - PCBA","20-07-2026 15:00:00",24.82827,92.79525,OZONE,2,2,2
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","20-07-2026 15:00:00",26.987634,94.636574,CO,9,19,14
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","20-07-2026 15:00:00",24.7955,84.9994,NH3,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","20-07-2026 15:00:00",24.7955,84.9994,SO2,NA,NA,NA
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-07-2026 15:00:00",24.762518,84.982348,SO2,7,9,8
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","20-07-2026 15:00:00",24.762518,84.982348,OZONE,11,25,19
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-07-2026 15:00:00",25.697189,85.2459,CO,20,29,25
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","20-07-2026 15:00:00",25.697189,85.2459,OZONE,21,43,32
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","20-07-2026 15:00:00",25.560083,87.553265,OZONE,4,25,19
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","20-07-2026 15:00:00",28.56789,77.250515,OZONE,2,12,7
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","20-07-2026 15:00:00",28.62181,77.1944633,PM10,77,151,112
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","20-07-2026 15:00:00",28.62181,77.1944633,SO2,1,3,2
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","20-07-2026 15:00:00",28.62181,77.1944633,CO,53,66,60
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","20-07-2026 15:00:00",28.710508,77.249485,PM10,105,283,147
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","20-07-2026 15:00:00",28.493624,77.201159,OZONE,6,8,7
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","20-07-2026 15:00:00",23.076793,72.627874,NH3,NA,NA,NA
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","20-07-2026 15:00:00",23.076793,72.627874,SO2,NA,NA,NA
